order_id,order_code,customer,product_name,quantity,scraped_at
505276,SO01072025:0915480,Shopee,The Travel Star Multi-use Bag with Shoes Pocket XL Fruit Green,1,2025-07-01T11:34:40.930484
505281,SO01072025:0915485,Tiktok,Larita Omi AH0125_20 S White,1,2025-07-01T11:34:40.930565
505281,SO01072025:0915485,Tiktok,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930565
505281,SO01072025:0915485,Tiktok,The Travel Star laundry bag S Orange,1,2025-07-01T11:34:40.930565
505277,SO01072025:0915481,Shopee,Larita Juden MG0624_28 L Black,1,2025-07-01T11:34:40.930579
505277,SO01072025:0915481,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930579
505277,SO01072025:0915481,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930579
505278,SO01072025:0915482,Shopee,Larita Juden MG0624_24 M Pink,1,2025-07-01T11:34:40.930586
505278,SO01072025:0915482,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930586
505278,SO01072025:0915482,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930586
505275,SO01072025:0915479,Shopee,"Herschel Retreat TM Small 13"" Backpack M Black",1,2025-07-01T11:34:40.930596
505275,SO01072025:0915479,Shopee,Herschel Adventure Patch S Đa Màu,1,2025-07-01T11:34:40.930596
505268,SO01072025:0915472,Tiktok,Larita Aly MG0524_24 M Black,1,2025-07-01T11:34:40.930603
505268,SO01072025:0915472,Tiktok,The Travel Star laundry bag S Orange,1,2025-07-01T11:34:40.930603
505268,SO01072025:0915472,Tiktok,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930603
505257,SO01072025:0915461,Shopee,Larita Rota MG0324_24 M Pink,1,2025-07-01T11:34:40.930611
505257,SO01072025:0915461,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930611
505257,SO01072025:0915461,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930611
505259,SO01072025:0915463,Shopee,Larita Rota MG0324_20 S Black,1,2025-07-01T11:34:40.930618
505259,SO01072025:0915463,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930618
505259,SO01072025:0915463,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930618
505269,SO01072025:0915473,Tiktok,Larita Aly MG0524_24 M Blue,1,2025-07-01T11:34:40.930625
505269,SO01072025:0915473,Tiktok,Larita Aly MG0524_20 S Blue,1,2025-07-01T11:34:40.930625
505269,SO01072025:0915473,Tiktok,Mia Luggage Tag S Orange,2,2025-07-01T11:34:40.930625
505269,SO01072025:0915473,Tiktok,Giảm khác,1,2025-07-01T11:34:40.930625
505270,SO01072025:0915474,Tiktok,Larita Aly MG0524_24 M Black,1,2025-07-01T11:34:40.930631
505270,SO01072025:0915474,Tiktok,Larita Aly MG0524_20 S Black,1,2025-07-01T11:34:40.930631
505270,SO01072025:0915474,Tiktok,Mia Luggage Tag S Orange,2,2025-07-01T11:34:40.930631
505270,SO01072025:0915474,Tiktok,Giảm khác,1,2025-07-01T11:34:40.930631
505260,SO01072025:0915464,Shopee,Larita Rico AH0324_Combo M+L Grey,1,2025-07-01T11:34:40.930645
505260,SO01072025:0915464,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930645
505260,SO01072025:0915464,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930645
505271,SO01072025:0915475,Tiktok,The Travel Star Clearguard Cover_26 L Black,1,2025-07-01T11:34:40.930651
505272,SO01072025:0915476,Tiktok,Larita Omi AH0125_20 S White,1,2025-07-01T11:34:40.930657
505272,SO01072025:0915476,Tiktok,The Travel Star laundry bag S Orange,1,2025-07-01T11:34:40.930657
505272,SO01072025:0915476,Tiktok,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930657
505251,SO01072025:0915455,Nguyễn Thanh Phúc,Larita Cory MG1124_20 S Gun Metal,1,2025-07-01T11:34:40.930664
505237,SO01072025:0915441,Cô Trang,The Travel Star Multi-use Bag with Shoes Pocket XL Grey,1,2025-07-01T11:34:40.930673
505237,SO01072025:0915441,Cô Trang,Thu phí vận chuyển,1,2025-07-01T11:34:40.930673
505279,SO01072025:0915483,Shopee,"Mia Cover City 2_20"" S Black",3,2025-07-01T11:34:40.930679
505256,SO01072025:0915460,Shopee,Heys Tie Dye_24 M Blue,1,2025-07-01T11:34:40.930686
505256,SO01072025:0915460,Shopee,"Mia Cover City 2_24"" M Black",1,2025-07-01T11:34:40.930686
505256,SO01072025:0915460,Shopee,The Travel Star Adventure Duffle Bag M Red,1,2025-07-01T11:34:40.930686
505256,SO01072025:0915460,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930686
505256,SO01072025:0915460,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930686
505273,SO01072025:0915477,Tiktok,Larita Aly MG0524_24 M Light Blue,1,2025-07-01T11:34:40.930692
505273,SO01072025:0915477,Tiktok,The Travel Star laundry bag S Orange,1,2025-07-01T11:34:40.930692
505273,SO01072025:0915477,Tiktok,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930692
505274,SO01072025:0915478,Tiktok,Larita Aly MG0524_24 M Light Blue,1,2025-07-01T11:34:40.930698
505274,SO01072025:0915478,Tiktok,The Travel Star laundry bag S Orange,1,2025-07-01T11:34:40.930698
505274,SO01072025:0915478,Tiktok,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930698
505236,SO01072025:0915440,Hương,Larita Cory MG1124_24 M Sand,1,2025-07-01T11:34:40.930707
505235,SO01072025:0915439,Lê Thị Ngọc Anh,Larita Cory MG1124_24 M Sand,1,2025-07-01T11:34:40.930713
505235,SO01072025:0915439,Lê Thị Ngọc Anh,"Mia Cover City 2_24"" M Black",1,2025-07-01T11:34:40.930713
505235,SO01072025:0915439,Lê Thị Ngọc Anh,Giảm voucher,1,2025-07-01T11:34:40.930713
505234,SO01072025:0915438,Huong Nguyen,"Mia Cover City 2_24"" M Black",1,2025-07-01T11:34:40.930719
505234,SO01072025:0915438,Huong Nguyen,Thu phí vận chuyển,1,2025-07-01T11:34:40.930719
505234,SO01072025:0915438,Huong Nguyen,Giảm thành viên,1,2025-07-01T11:34:40.930719
505232,SO01072025:0915436,TrầN Thị PhưƠNg Mai,Larita Aly MG0524_20 S Black,1,2025-07-01T11:34:40.930725
505238,SO01072025:0915442,Shopee,Larita Weny MG1024_28 L Sandstone,1,2025-07-01T11:34:40.930730
505238,SO01072025:0915442,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930730
505238,SO01072025:0915442,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930730
505231,SO01072025:0915435,Khách hàng mớiGia Hân,Pisani Lani TR608_24 M Baby Pink,1,2025-07-01T11:34:40.930737
505231,SO01072025:0915435,Khách hàng mớiGia Hân,Thu phí vận chuyển,1,2025-07-01T11:34:40.930737
505267,SO01072025:0915471,Shopee,Larita Zeni LK0325_19 S Light Blue,1,2025-07-01T11:34:40.930743
505267,SO01072025:0915471,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930743
505267,SO01072025:0915471,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930743
505266,SO01072025:0915470,Shopee,Larita Rota MG0324_20 S Yellow,1,2025-07-01T11:34:40.930749
505266,SO01072025:0915470,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930749
505266,SO01072025:0915470,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930749
505229,SO01072025:0915433,Khách hàng mới,Pisani Lani TR608_20 S Baby Pink,1,2025-07-01T11:34:40.930756
505261,SO01072025:0915465,Shopee,Larita Rota MG0324_24 M Blue,1,2025-07-01T11:34:40.930761
505261,SO01072025:0915465,Shopee,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930761
505261,SO01072025:0915465,Shopee,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930761
505219,SO01072025:0915423,Nguyễn Khoa,Larita Rota MG0324_28 L Black,1,2025-07-01T11:34:40.930768
505219,SO01072025:0915423,Nguyễn Khoa,Mia Luggage Tag S Orange,1,2025-07-01T11:34:40.930768
505219,SO01072025:0915423,Nguyễn Khoa,Mia Pack-it shoes bag II S Orange,1,2025-07-01T11:34:40.930768
505263,SO01072025:0915467,Shopee,Larita Zeni LK0325_24 M Dark Grey,1,2025-07-01T11:34:40.930774
