type,platform,message,count,hours_left
CRITICAL,Shopee,🚨 180 đơn hàng QUÁ HẠN xác nhận (9h sáng),180.0,
WARNING,Shopee,⚠️ Đơn 505276 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505277 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505278 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505275 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505257 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505259 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505260 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505279 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505256 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505238 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505267 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505266 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505261 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505263 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505242 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505240 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505248 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505250 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505239 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505205 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505215 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505216 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505249 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505244 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
