2025-07-01 11:03:22 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:03:22 | INFO | 🎯 Starting automation demo...
2025-07-01 11:03:22 | INFO | 🔍 Checking system status...
2025-07-01 11:03:22 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1120e78c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:03:22 | ERROR | ❌ Frontend connection failed: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x112240cd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:03:22 | INFO | 🔬 Running automation health check...
2025-07-01 11:03:22 | SUCCESS | ✅ File system is writable
2025-07-01 11:03:22 | INFO | 📊 Generating sample data...
2025-07-01 11:03:22 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_110322.xlsx
2025-07-01 11:03:22 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:03:22 | INFO |    • Backend Status: ❌
2025-07-01 11:03:22 | INFO |    • Frontend Status: ❌
2025-07-01 11:03:22 | INFO |    • Health Check: ✅
2025-07-01 11:03:22 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:03:22 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:04:11 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:04:11 | INFO | 🎯 Starting automation demo...
2025-07-01 11:04:11 | INFO | 🔍 Checking system status...
2025-07-01 11:04:11 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1075038c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:04:11 | SUCCESS | ✅ Frontend is running
2025-07-01 11:04:11 | INFO | 🔬 Running automation health check...
2025-07-01 11:04:11 | SUCCESS | ✅ File system is writable
2025-07-01 11:04:11 | INFO | 📊 Generating sample data...
2025-07-01 11:04:11 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_110411.xlsx
2025-07-01 11:04:11 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:04:11 | INFO |    • Backend Status: ❌
2025-07-01 11:04:11 | INFO |    • Frontend Status: ✅
